Du ser nu i overensstemmelse med dit produkts omfang de første 5.000 svar. Dog skal det oplyses, at der foreligger flere svar. Ved hjælp af en produkt-opgradering kan der efter betalingsindgang opnås adgang til alle svar.  Respondenternes svar bliver altid gemt, også i tilfælde hvor det maksimale antal svar er opnået.";
"";
"_Svar-ID";"Resume-Code";"Start";"Dato og tid";"Deltagerstatus";"1. Hvor gammel er du?";"2. Er du mand eller kvinde?";"3. Hvilken form for by bor du i?";"4. Hvad er din civil status?";"5. Har du hjemmeboende børn?";"6. Har du bil?";"7. Har du en cykel?";"8. Hvilken form for transport bruger du mest når du skal rundt i egen by?";"9. Hvilken form for transport bruger du mest når du skal ud for egen by?";"10. Hvor langt har du til arbejde?";"11. Hvilken form for transport bruger du mest til og fra arbejde?";"12. Hvor langt har du til skole?";"13. Hvilken form for transport bruger du mest til og fra skole?";"14. Har parkerings muligheder indflydelse på dit valg af transport?";"15. Hvis det er en solskinsdag - vælg det udsagn der passer bedst";"16. Hvis det er en regnvejrsdag - vælg det udsagn der passer bedst";
"83247056";"5e309d1";"03-05-2021 16:48";"03-05-2021 16:50";"deltaget og afsluttet";"15 - 25";"Mand";"Storby";"Single";"nej";"nej";"ja";"Cykel";"Tog";"Mellem 1-5 km";"Cykel";"Under 1 km";"Jeg går/løber";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";
"83247546";"72fcc26";"03-05-2021 16:53";"03-05-2021 17:01";"deltaget og afsluttet";"Over 60";"Mand";"Forstad";"I forhold";"nej";"ja";"ja";"Bil";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83249929";"797dd1b";"03-05-2021 17:58";"03-05-2021 18:00";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"Single";"nej";"nej";"ja";"Cykel";"Tog";"Under 1 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83250428";"3f285f5";"03-05-2021 18:07";"03-05-2021 18:09";"deltaget, men endnu ikke afsluttet";"36 - 45";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Over 40 km";"Bil";"Mellem 1-5 km";"Bil";"Ja";"";"Jeg tager stort set altid tog, bus eller bil";
"83252835";"802be8b";"03-05-2021 19:00";"03-05-2021 19:02";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"nej";"ja";"ja";"Tog";"Bil";"Mellem 5-15 km";"Tog";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler sjældent også selvom afstanden passer til det";
"83252884";"445673b";"03-05-2021 19:02";"03-05-2021 19:04";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"I forhold";"nej";"nej";"nej";"Bus";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Mellem 5-15 km";"Bus";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83252979";"6817f0f";"03-05-2021 19:04";"03-05-2021 19:06";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Under 1 km";"Bil";"Jeg går ikke i skole";"Bil";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83253251";"e8b220f";"03-05-2021 19:12";"03-05-2021 19:13";"deltaget og afsluttet";"26 - 35";"Mand";"Storby";"I forhold";"nej";"nej";"ja";"Cykel";"Tog";"Mellem 1-5 km";"Cykel";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83253540";"79a98ed";"03-05-2021 19:19";"03-05-2021 19:20";"deltaget og afsluttet";"36 - 45";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Mellem 1-5 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83253652";"c70444b";"03-05-2021 19:22";"03-05-2021 19:23";"deltaget og afsluttet";"45 - 60";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Mellem 1-5 km";"Cykel";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83253731";"792aaf6";"03-05-2021 19:23";"03-05-2021 19:25";"deltaget og afsluttet";"45 - 60";"Kvinde";"Landet";"I forhold";"nej";"ja";"nej";"Bil";"Bil";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Jeg går ikke i skole";"Jeg går ikke i skole";"Nej";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83253771";"55be1fb";"03-05-2021 19:25";"03-05-2021 19:26";"deltaget og afsluttet";"26 - 35";"Kvinde";"Forstad";"I forhold";"ja";"ja";"ja";"Cykel";"Bil";"Mellem 15-25 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83253776";"46fa4ea";"03-05-2021 19:25";"03-05-2021 19:26";"deltaget og afsluttet";"15 - 25";"Kvinde";"Storby";"Single";"nej";"nej";"ja";"Bus";"Tog";"Mellem 25-40 km";"Tog";"Over 40 km";"Tog";"Nej";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83253846";"980e6bf";"03-05-2021 19:27";"03-05-2021 19:28";"deltaget og afsluttet";"15 - 25";"Mand";"Storby";"I forhold";"nej";"nej";"ja";"Cykel";"Bil";"Mellem 1-5 km";"Cykel";"Mellem 1-5 km";"Cykel";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83254071";"bf438fc";"03-05-2021 19:31";"03-05-2021 19:33";"deltaget og afsluttet";"36 - 45";"Mand";"Storby";"I forhold";"ja";"ja";"ja";"Bil";"Bil";"Over 40 km";"Bil";"Under 1 km";"Jeg går/løber";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83254112";"4020ea9";"03-05-2021 19:33";"03-05-2021 19:34";"deltaget og afsluttet";"26 - 35";"Kvinde";"Storby";"I forhold";"ja";"ja";"ja";"Jeg går/løber";"Bil";"Mellem 25-40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler altid hvis afstanden passer til det";"Jeg går eller cykler altid hvis afstanden passer til det";
"83254168";"bb0677b";"03-05-2021 19:30";"03-05-2021 19:36";"deltaget og afsluttet";"Over 60";"Kvinde";"Forstad";"I forhold";"nej";"ja";"nej";"Jeg går/løber";"Bil";"Mellem 5-15 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg går eller cykler en gang imellem hvis afstanden passer til det";"Jeg tager stort set altid tog, bus eller bil";
"83254198";"36e2b62";"03-05-2021 19:35";"03-05-2021 19:37";"deltaget og afsluttet";"26 - 35";"Kvinde";"Landet";"Single";"nej";"ja";"ja";"Bil";"Bil";"Over 40 km";"Bil";"Jeg går ikke i skole";"Jeg går ikke i skole";"Ja";"Jeg tager stort set altid tog, bus eller bil";"Jeg tager stort set altid tog, bus eller bil";
"83254219";"c3d7035";"03-05-2021 19:36";"03-05-2021 19:37";"deltaget og afsluttet";"15 - 25";"Kvinde";"Forstad";"I forhold";"nej";"nej";"ja";"Jeg går/løber";"Tog";"Jeg har ikke noget arbejde";"Jeg har ikke noget arbejde";"Mellem 25-40 km";"Bil";"Nej";"Jeg går eller cykler altid hvis afstanden passer til det";"Ved ikke";
